id,article,date,views
0,abu_sayyaf,2008-01,NaN
1,abu_sayyaf,2008-02,9533
2,abu_sayyaf,2008-03,11594
3,abu_sayyaf,2008-04,10507
4,abu_sayyaf,2008-05,10789
5,abu_sayyaf,2008-06,15748
6,abu_sayyaf,2008-07,3135
7,abu_sayyaf,2008-08,10310
8,abu_sayyaf,2008-09,8403
9,abu_sayyaf,2008-10,8118
10,abu_sayyaf,2008-11,9824
11,abu_sayyaf,2008-12,8467
12,abu_sayyaf,2009-01,NaN
13,abu_sayyaf,2009-02,9654
14,abu_sayyaf,2009-03,NaN
15,abu_sayyaf,2009-04,NaN
16,abu_sayyaf,2009-05,NaN
17,abu_sayyaf,2009-06,NaN
18,abu_sayyaf,2009-07,11768
19,abu_sayyaf,2009-08,12011
20,abu_sayyaf,2009-09,11680
21,abu_sayyaf,2009-10,10873
22,abu_sayyaf,2009-11,NaN
23,abu_sayyaf,2009-12,NaN
24,abu_sayyaf,2010-01,9644
25,abu_sayyaf,2010-02,11879
26,abu_sayyaf,2010-03,12518
27,abu_sayyaf,2010-04,10860
28,abu_sayyaf,2010-05,9713
29,abu_sayyaf,2010-06,8680
30,abu_sayyaf,2010-07,8607
31,abu_sayyaf,2010-08,14449
32,abu_sayyaf,2010-09,12729
33,abu_sayyaf,2010-10,11006
34,abu_sayyaf,2010-11,11676
35,abu_sayyaf,2010-12,11106
36,abu_sayyaf,2011-01,11534
37,abu_sayyaf,2011-02,12098
38,abu_sayyaf,2011-03,11056
39,abu_sayyaf,2011-04,9219
40,abu_sayyaf,2011-05,16530
41,abu_sayyaf,2011-06,10958
42,abu_sayyaf,2011-07,13880
43,abu_sayyaf,2011-08,13235
44,abu_sayyaf,2011-09,11009
45,abu_sayyaf,2011-10,15628
46,abu_sayyaf,2011-11,13018
47,abu_sayyaf,2011-12,12633
48,abu_sayyaf,2012-01,12125
49,abu_sayyaf,2012-02,14668
50,abu_sayyaf,2012-03,12178
51,abu_sayyaf,2012-04,10460
52,abu_sayyaf,2012-05,13821
53,abu_sayyaf,2012-06,13158
54,abu_sayyaf,2012-07,13554
55,abu_sayyaf,2012-08,NaN
56,abu_sayyaf,2012-09,NaN
57,abu_sayyaf,2012-10,NaN
58,abu_sayyaf,2012-11,NaN
59,abu_sayyaf,2012-12,NaN
60,abu_sayyaf,2013-01,NaN
61,abu_sayyaf,2013-02,NaN
62,abu_sayyaf,2013-03,30258
63,abu_sayyaf,2013-04,14334
64,abu_sayyaf,2013-05,15167
65,abu_sayyaf,2013-06,12011
66,abu_sayyaf,2013-07,NaN
67,abu_sayyaf,2013-08,10350
68,abu_sayyaf,2013-09,13247
69,abu_sayyaf,2013-10,9814
70,abu_sayyaf,2013-11,13345
71,abu_sayyaf,2013-12,9123
72,abu_sayyaf,2014-01,9492
73,abu_sayyaf,2014-02,10333
74,abu_sayyaf,2014-03,NaN
75,abu_sayyaf,2014-04,NaN
76,abu_sayyaf,2014-05,NaN
77,abu_sayyaf,2014-06,NaN
78,abu_sayyaf,2014-07,NaN
79,abu_sayyaf,2014-08,NaN
80,abu_sayyaf,2014-09,NaN
81,abu_sayyaf,2014-10,NaN
82,abu_sayyaf,2014-11,NaN
83,abu_sayyaf,2014-12,NaN
84,abu_sayyaf,2015-01,NaN
85,abu_sayyaf,2015-02,NaN
86,abu_sayyaf,2015-03,NaN
87,abu_sayyaf,2015-04,NaN
88,abu_sayyaf,2015-05,NaN
89,abu_sayyaf,2015-06,NaN
90,abu_sayyaf,2015-07,9840
91,abu_sayyaf,2015-08,15866
92,abu_sayyaf,2015-09,13245
93,abu_sayyaf,2015-10,12557
94,abu_sayyaf,2015-11,31168
95,abu_sayyaf,2015-12,15563
96,abu_sayyaf,2016-01,13140
97,abu_sayyaf,2016-02,10619
98,abu_sayyaf,2016-03,16603
99,abu_sayyaf,2016-04,53541
100,abu_sayyaf,2016-05,29912
101,abu_sayyaf,2016-06,33325
102,abu_sayyaf,2016-07,16751
103,abu_sayyaf,2016-08,17948
104,abu_sayyaf,2016-09,48678
105,abu_sayyaf,2016-10,15574
106,abu_sayyaf,2016-11,17818
107,abu_sayyaf,2016-12,14745
108,abu_sayyaf,2017-01,16550
109,abu_sayyaf,2017-02,23151
110,abu_sayyaf,2017-03,18702
111,abu_sayyaf,2017-04,21059
112,abu_sayyaf,2017-05,33151
113,abu_sayyaf,2017-06,22257
114,abu_sayyaf,2017-07,12964
115,abu_sayyaf,2017-08,10434
116,abu_sayyaf,2017-09,10358
