id,article,date,views
0,air_marshal,2008-01,NaN
1,air_marshal,2008-02,NaN
2,air_marshal,2008-03,NaN
3,air_marshal,2008-04,NaN
4,air_marshal,2008-05,NaN
5,air_marshal,2008-06,NaN
6,air_marshal,2008-07,NaN
7,air_marshal,2008-08,NaN
8,air_marshal,2008-09,NaN
9,air_marshal,2008-10,NaN
10,air_marshal,2008-11,NaN
11,air_marshal,2008-12,NaN
12,air_marshal,2009-01,NaN
13,air_marshal,2009-02,NaN
14,air_marshal,2009-03,NaN
15,air_marshal,2009-04,NaN
16,air_marshal,2009-05,NaN
17,air_marshal,2009-06,NaN
18,air_marshal,2009-07,NaN
19,air_marshal,2009-08,NaN
20,air_marshal,2009-09,NaN
21,air_marshal,2009-10,NaN
22,air_marshal,2009-11,NaN
23,air_marshal,2009-12,NaN
24,air_marshal,2010-01,NaN
25,air_marshal,2010-02,NaN
26,air_marshal,2010-03,NaN
27,air_marshal,2010-04,NaN
28,air_marshal,2010-05,NaN
29,air_marshal,2010-06,NaN
30,air_marshal,2010-07,NaN
31,air_marshal,2010-08,NaN
32,air_marshal,2010-09,NaN
33,air_marshal,2010-10,NaN
34,air_marshal,2010-11,NaN
35,air_marshal,2010-12,NaN
36,air_marshal,2011-01,NaN
37,air_marshal,2011-02,NaN
38,air_marshal,2011-03,NaN
39,air_marshal,2011-04,NaN
40,air_marshal,2011-05,NaN
41,air_marshal,2011-06,NaN
42,air_marshal,2011-07,NaN
43,air_marshal,2011-08,NaN
44,air_marshal,2011-09,NaN
45,air_marshal,2011-10,NaN
46,air_marshal,2011-11,NaN
47,air_marshal,2011-12,NaN
48,air_marshal,2012-01,NaN
49,air_marshal,2012-02,NaN
50,air_marshal,2012-03,NaN
51,air_marshal,2012-04,NaN
52,air_marshal,2012-05,NaN
53,air_marshal,2012-06,NaN
54,air_marshal,2012-07,NaN
55,air_marshal,2012-08,NaN
56,air_marshal,2012-09,NaN
57,air_marshal,2012-10,NaN
58,air_marshal,2012-11,NaN
59,air_marshal,2012-12,NaN
60,air_marshal,2013-01,NaN
61,air_marshal,2013-02,NaN
62,air_marshal,2013-03,NaN
63,air_marshal,2013-04,NaN
64,air_marshal,2013-05,NaN
65,air_marshal,2013-06,NaN
66,air_marshal,2013-07,NaN
67,air_marshal,2013-08,NaN
68,air_marshal,2013-09,NaN
69,air_marshal,2013-10,NaN
70,air_marshal,2013-11,NaN
71,air_marshal,2013-12,NaN
72,air_marshal,2014-01,NaN
73,air_marshal,2014-02,NaN
74,air_marshal,2014-03,NaN
75,air_marshal,2014-04,NaN
76,air_marshal,2014-05,NaN
77,air_marshal,2014-06,NaN
78,air_marshal,2014-07,NaN
79,air_marshal,2014-08,NaN
80,air_marshal,2014-09,NaN
81,air_marshal,2014-10,NaN
82,air_marshal,2014-11,NaN
83,air_marshal,2014-12,NaN
84,air_marshal,2015-01,NaN
85,air_marshal,2015-02,NaN
86,air_marshal,2015-03,NaN
87,air_marshal,2015-04,NaN
88,air_marshal,2015-05,NaN
89,air_marshal,2015-06,NaN
90,air_marshal,2015-07,3866
91,air_marshal,2015-08,3088
92,air_marshal,2015-09,3200
93,air_marshal,2015-10,5212
94,air_marshal,2015-11,3347
95,air_marshal,2015-12,3289
96,air_marshal,2016-01,3531
97,air_marshal,2016-02,3006
98,air_marshal,2016-03,3531
99,air_marshal,2016-04,3252
100,air_marshal,2016-05,3993
101,air_marshal,2016-06,2456
102,air_marshal,2016-07,2773
103,air_marshal,2016-08,4135
104,air_marshal,2016-09,2980
105,air_marshal,2016-10,2680
106,air_marshal,2016-11,3965
107,air_marshal,2016-12,2938
108,air_marshal,2017-01,3554
109,air_marshal,2017-02,2322
110,air_marshal,2017-03,2678
111,air_marshal,2017-04,3020
112,air_marshal,2017-05,2376
113,air_marshal,2017-06,2229
114,air_marshal,2017-07,2278
115,air_marshal,2017-08,2437
116,air_marshal,2017-09,2829
117,air_marshal,2017-10,2357
118,air_marshal,2017-11,2288
119,air_marshal,2017-12,2403
120,air_marshal,2018-01,2464
121,air_marshal,2018-02,1963
122,air_marshal,2018-03,2406
123,air_marshal,2018-04,2679
124,air_marshal,2018-05,2134
125,air_marshal,2018-06,1784
126,air_marshal,2018-07,2313
127,air_marshal,2018-08,3451
128,air_marshal,2018-09,1815
129,air_marshal,2018-10,1805
130,air_marshal,2018-11,1856
131,air_marshal,2018-12,1834
132,alcohol_and_tobacco_tax_and_trade_bureau,2008-01,NaN
133,alcohol_and_tobacco_tax_and_trade_bureau,2008-02,NaN
134,alcohol_and_tobacco_tax_and_trade_bureau,2008-03,NaN
135,alcohol_and_tobacco_tax_and_trade_bureau,2008-04,NaN
136,alcohol_and_tobacco_tax_and_trade_bureau,2008-05,NaN
137,alcohol_and_tobacco_tax_and_trade_bureau,2008-06,NaN
138,alcohol_and_tobacco_tax_and_trade_bureau,2008-07,NaN
139,alcohol_and_tobacco_tax_and_trade_bureau,2008-08,NaN
140,alcohol_and_tobacco_tax_and_trade_bureau,2008-09,NaN
141,alcohol_and_tobacco_tax_and_trade_bureau,2008-10,NaN
142,alcohol_and_tobacco_tax_and_trade_bureau,2008-11,NaN
143,alcohol_and_tobacco_tax_and_trade_bureau,2008-12,NaN
144,alcohol_and_tobacco_tax_and_trade_bureau,2009-01,NaN
145,alcohol_and_tobacco_tax_and_trade_bureau,2009-02,NaN
146,alcohol_and_tobacco_tax_and_trade_bureau,2009-03,NaN
147,alcohol_and_tobacco_tax_and_trade_bureau,2009-04,NaN
148,alcohol_and_tobacco_tax_and_trade_bureau,2009-05,NaN
149,alcohol_and_tobacco_tax_and_trade_bureau,2009-06,NaN
150,alcohol_and_tobacco_tax_and_trade_bureau,2009-07,NaN
151,alcohol_and_tobacco_tax_and_trade_bureau,2009-08,NaN
152,alcohol_and_tobacco_tax_and_trade_bureau,2009-09,NaN
153,alcohol_and_tobacco_tax_and_trade_bureau,2009-10,NaN
154,alcohol_and_tobacco_tax_and_trade_bureau,2009-11,NaN
155,alcohol_and_tobacco_tax_and_trade_bureau,2009-12,NaN
156,alcohol_and_tobacco_tax_and_trade_bureau,2010-01,NaN
157,alcohol_and_tobacco_tax_and_trade_bureau,2010-02,NaN
158,alcohol_and_tobacco_tax_and_trade_bureau,2010-03,NaN
159,alcohol_and_tobacco_tax_and_trade_bureau,2010-04,NaN
160,alcohol_and_tobacco_tax_and_trade_bureau,2010-05,NaN
161,alcohol_and_tobacco_tax_and_trade_bureau,2010-06,NaN
162,alcohol_and_tobacco_tax_and_trade_bureau,2010-07,NaN
